movieCd,movieNm,audiAcc
20185353,기방도령,220182
20185986,진범,106756
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,101245
20192151,미드소마,45707
20196309,스파이더맨: 파 프롬 홈,4521624
20192591,BIFAN2019 판타스틱 단편 걸작선 1,25000
20199951,애나벨 집으로,291328
20182585,비스트,177340
20192022,마담 싸이코,37437
20184047,토이 스토리 4,1115621
20198453,롱 리브 더 킹: 목포 영웅,680862
20196655,존 윅 3: 파라벨룸,73138
20190885,사탄의 인형,46546
20196657,맨 인 블랙: 인터내셔널,637747
20190273,천로역정: 천국을 찾아서,77793
20191401,업사이드,30244
20190466,세상을 바꾼 변호인,17105
20182387,엑스맨: 다크 피닉스,737068
19880001,이웃집 토토로,101213
20198291,로켓맨,72451
20199063,빅샤크2: 해저2만리,44189
20183782,기생충,3366715
20184865,고질라: 킹 오브 몬스터,301152
20188144,0.0MHz,107081
20183867,알라딘,874017
20199448,어린 의뢰인,150068
20199822,더 보이,71613
20198597,교회오빠,21806
20197503,서스페리아,19684
20184082,걸캅스,591968
20185384,호텔 뭄바이,37029
20188941,악인전,20994
20187981,배심원들,23716
20185784,나의 특별한 형제,660849
20198598,명탐정 피카츄,119716
20197147,어글리 돌,37541
20169323,안도 타다오,18100
20060347,판의 미로 - 오필리아와 세 개의 열쇠,482408
20199736,프렌즈: 둥지탈출,10185
20184889,어벤져스: 엔드게임,6308048
20198183,뽀로로 극장판 보물섬 대모험,275016
19990220,노팅 힐,49958
20183454,요로나의 저주,161060
20198982,크게 될 놈,62272
20182501,왓칭,46139
20198844,아이 엠 마더,83953
20185406,헬보이,220243
20180825,미성년,141588
20197423,공포의 묘지,87134
20198403,파이브 피트,67395
20196244,샤잠!,500650
20183096,생일,375445
20197092,로망,46938
20198104,바이스,9652
20185352,어스,936427
20196025,덤보,212836
20183773,장난스런 키스,172939
20166301,썬키스 패밀리,26086
20197483,1919 유관순,46858
20198146,콜레트,22341
20197846,악질경찰,189604
20175407,우상,137880
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,24340
20197617,정글북: 마법 원정대,22534
20197283,이스케이프 룸,389570
20176103,돈,75464
20197356,라스트 미션,64302
20196723,숲속왕국의 꿀벌 여왕,18305
20181877,캡틴 마블,3036626
20177282,리노,16489
20196601,항거:유관순 이야기,791038
20176442,자전차왕 엄복동,154330
20195791,"어쩌다, 결혼",70827
20180937,더 페이버릿: 여왕의 여자,104916
20177539,사바하,1176175
20195743,신데렐라:마법 반지의 비밀,133151
20020222,해리포터와 비밀의 방,79301
20185576,콜드 체이싱,78303
20185881,증인,737138
20195915,해피 데스데이 2 유,288142
20174169,기묘한 가족,216254
20184888,메리 포핀스 리턴즈,130491
20162003,명탐정 코난:전율의 악보,83376
20188282,알리타: 배틀 엔젤,1256871
20185444,레고 무비2,71030
20180868,뺑반,963002
20186261,드래곤 길들이기 3,623676
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,309600
20184896,가버나움,54001
20182530,극한직업,3139563
20185124,러브 유어셀프 인 서울,182103
20189385,몬스터 파크,30571
20182544,글래스,339707
20186324,언더독,122573
20182588,미래의 미라이,77985
20176251,내안의 그놈,765380
20183915,극장판 공룡메카드: 타이니소어의 섬,289878
20184574,그린 북,99569
20189463,주먹왕 랄프 2: 인터넷 속으로,758353
20184187,언니,172338
20184105,말모이,151979
20186281,범블비,1056143
20170658,PMC: 더 벙커,1013905
20183785,점박이 한반도의 공룡2 : 새로운 낙원,333626
20180290,아쿠아맨,1250060
20168773,마약왕,1210179
20182421,그린치,199381
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,112539
20183375,극장판 포켓몬스터 모두의 이야기,86997
20183238,스파이더맨: 뉴 유니버스,390327
20182082,부탁 하나만 들어줘,87501
20175547,스윙키즈,100989
20179230,도어락,827565
20189843,호두까기 인형과 4개의 왕국,229936
20178825,모털 엔진,203372
20183745,런닝맨 : 풀룰루의 역습,122873
20177552,국가부도의 날,1571881
20181905,후드,227258
20183007,거미줄에 걸린 소녀,25172
20182966,투 프렌즈,20419
20183073,베일리 어게인,45254
20182669,툴리,24325
20176814,신비한 동물들과 그린델왈드의 범죄,1519853
20183050,번 더 스테이지: 더 무비,235068
20184481,성난황소,78606
20182935,출국,36975
20186822,너의 췌장을 먹고 싶어,33882
20189869,해피 투게더,15745
20170513,동네사람들,352215
20181171,바울,108996
20179006,여곡성,55997
20182693,구스범스: 몬스터의 역습,21400
20185485,보헤미안 랩소디,709323
20181404,벽 속에 숨은 마법시계,169342
20180987,할로윈,90492
20174981,창궐,1008978
20182403,크레이지 리치 아시안,106285
20010291,해리포터와 마법사의 돌,103477
20177538,완벽한 타인,42009
20186321,퍼스트맨,423192
20184678,배반의 장미,29890
20187521,펭귄 하이웨이,25631
20180628,액슬,12152
20189067,미쓰백,193787
20180523,스타 이즈 본,153395
20180770,다이노 어드벤처2: 육해공 공룡 대백과,34822
20188661,에브리데이,21620
20177221,베놈,2081202
20179189,암수살인,1612454
20189123,곰돌이 푸 다시 만나 행복해,227697
20189462,셜록 놈즈,59338
20167903,원더풀 고스트,377743
20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,42980
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,35688
20172204,명당,759842
20177308,협상,618547
20189262,더 넌,544834
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,46616
20189268,루이스,30262
20156554,물괴,613890
20188581,더 프레데터,149398
20176122,안시성,14909
20189362,업그레이드,109579
20189261,어드리프트:우리가 함께한 바다,41977
20185046,서치,570893
20177537,상류사회,508651
20139221,그래비티,3262924
20153446,너의 결혼식,901602
20187647,나를 차버린 스파이,163992
20187657,마일22,51350
20170670,목격자,1365429
20183584,메가로돈,413426
20187641,극장판 도라에몽: 진구의 보물섬,138640
20179101,공작,2066490
20184802,몬스터 호텔 3,511348
20187427,명탐정 코난 : 제로의 집행인,282149
20186202,신과함께-인과 연,6193754
20181181,미션 임파서블: 폴아웃,5495184
20183361,인크레더블 2,2889428
20186501,극장판 헬로카봇 : 백악기 시대,621788
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,621960
20170942,인랑,891308
20181942,맘마미아!2,75214
20186121,어느 가족,92293
20180522,앤트맨과 와스프,5444801
20185341,마녀,3188405
